place,mag,time,coordinates
"33 km SE of Mina, Nevada",1.1,2020-11-13 17:53:46.580,"[-117.8697, 38.1532, 6.5]"
"35 km SE of Mina, Nevada",2.2,2020-11-13 17:51:49.160,"[-117.8092, 38.1795, 11.4]"
"23km ESE of Little Lake, CA",1.08,2020-11-13 17:49:52.030,"[-117.6803333, 35.849, 2.6]"
"40 km ESE of Mina, Nevada",1.4,2020-11-13 17:45:47.420,"[-117.6988, 38.213, 0.2]"
"15 km ENE of Susitna North, Alaska",2,2020-11-13 17:35:11.867,"[-149.5667, 62.2116, 10.4]"
"28 km SSE of Mina, Nevada",1.8,2020-11-13 17:31:56.870,"[-117.9377, 38.1753, 7.3]"
"1 km NNW of Funny River, Alaska",1.4,2020-11-13 17:29:59.127,"[-150.7692, 60.5111, 58.7]"
"37 km SE of Mina, Nevada",1.6,2020-11-13 17:28:37.460,"[-117.7572, 38.1973, 1.9]"
"40 km WSW of Illapel, Chile",4.7,2020-11-13 17:26:59.094,"[-71.582, -31.734, 35]"
"34 km SE of Mina, Nevada",2.1,2020-11-13 17:26:46.030,"[-117.8285, 38.178, 7.3]"
"32 km ENE of Lee Vining, California",1.6,2020-11-13 17:20:31.641,"[-118.7783, 38.0584, 0]"
"38 km SE of Mina, Nevada",1.5,2020-11-13 17:19:47.660,"[-117.7948, 38.153, 6.6]"
"41 km NNW of Silver Peak, Nevada",1.5,2020-11-13 17:11:45.780,"[-117.7493, 38.1138, 16.5]"
Nevada,1.1,2020-11-13 17:03:49.420,"[-117.7463, 38.1905, 13]"
"12km E of Yucaipa, CA",1.65,2020-11-13 17:03:11.120,"[-116.9148333, 34.045, 15.27]"
"36 km SE of Mina, Nevada",1.2,2020-11-13 17:02:24.810,"[-117.786, 38.1752, 10.5]"
